frame,keypoints
499,"[[0.38672590255737305, 0.4555993676185608, 0.04442808777093887], [0.36086076498031616, 0.49606913328170776, 0.06114513427019119], [0.3902209997177124, 0.4502168595790863, 0.044042784720659256], [0.3778500556945801, 0.47719472646713257, 0.03334126994013786], [0.4493503272533417, 0.5414277911186218, 0.02481548860669136], [0.3999422788619995, 0.7072279453277588, 0.007177719380706549], [0.39827293157577515, 0.4573504328727722, 0.014953961595892906], [0.47356081008911133, 0.7259479761123657, 0.008004801347851753], [0.4373730421066284, 0.3805893063545227, 0.01239628717303276], [0.5491859912872314, 0.6221700310707092, 0.009022189304232597], [0.3326210677623749, 0.031320970505476, 0.06449941545724869], [0.3735564947128296, 0.5711013078689575, 0.06036084517836571], [0.3587680459022522, 0.4607945680618286, 0.06615712493658066], [0.3729490637779236, 0.517804741859436, 0.008810115046799183], [0.37258049845695496, 0.47931593656539917, 0.011388345621526241], [0.5659677386283875, 0.49159717559814453, 0.008401905186474323], [0.546930193901062, 0.5244190096855164, 0.015994273126125336]]"
500,"[[0.38689082860946655, 0.45567381381988525, 0.04263817518949509], [0.36093878746032715, 0.4962393641471863, 0.05938846617937088], [0.3905057907104492, 0.4501960873603821, 0.04227256402373314], [0.3778313994407654, 0.47682687640190125, 0.03166770190000534], [0.44984960556030273, 0.5420675277709961, 0.02420230582356453], [0.39999768137931824, 0.707584023475647, 0.006930619943886995], [0.3981197476387024, 0.4574930667877197, 0.01434455905109644], [0.4736885726451874, 0.725816011428833, 0.007888243533670902], [0.46332699060440063, 0.38411006331443787, 0.009911886416375637], [0.5493855476379395, 0.6220135688781738, 0.009040421806275845], [0.33276093006134033, 0.031059425324201584, 0.06517603993415833], [0.3542770743370056, 0.5889588594436646, 0.05865917354822159], [0.35888195037841797, 0.46121570467948914, 0.06666471064090729], [0.37297019362449646, 0.5184881687164307, 0.008623388595879078], [0.37245815992355347, 0.4797898232936859, 0.011070194654166698], [0.565986692905426, 0.49167048931121826, 0.008304150775074959], [0.5470672845840454, 0.5241302251815796, 0.015908019617199898]]"
501,"[[0.38672226667404175, 0.4555668532848358, 0.04419121518731117], [0.36086851358413696, 0.49603113532066345, 0.06099623814225197], [0.39023610949516296, 0.4501694142818451, 0.0439145490527153], [0.37785446643829346, 0.47710758447647095, 0.03314686194062233], [0.4494456648826599, 0.5414358973503113, 0.02475151978433132], [0.39992615580558777, 0.7072532176971436, 0.007136605679988861], [0.3982636332511902, 0.4573209285736084, 0.014881373383104801], [0.4735766649246216, 0.7259557247161865, 0.00798444077372551], [0.4372616410255432, 0.3804950714111328, 0.01235759537667036], [0.5492184162139893, 0.6221392154693604, 0.00903206504881382], [0.33265551924705505, 0.031247248873114586, 0.06474415212869644], [0.3735212981700897, 0.5711609125137329, 0.06034370884299278], [0.35876452922821045, 0.46085941791534424, 0.06632737070322037], [0.3729524314403534, 0.5178636312484741, 0.00879906676709652], [0.372546523809433, 0.4793109595775604, 0.011373072862625122], [0.565990149974823, 0.49159497022628784, 0.008409320376813412], [0.5469772815704346, 0.52434241771698, 0.016002122312784195]]"
502,"[[0.38693147897720337, 0.4560101628303528, 0.04323184862732887], [0.36100658774375916, 0.49652886390686035, 0.05942049250006676], [0.3905290365219116, 0.45058590173721313, 0.04226057976484299], [0.37787801027297974, 0.47716957330703735, 0.031861744821071625], [0.44983893632888794, 0.5425033569335938, 0.02428751066327095], [0.40013331174850464, 0.7076911926269531, 0.006972378585487604], [0.3981444537639618, 0.45769450068473816, 0.014347034506499767], [0.4737972915172577, 0.7257249355316162, 0.007916701957583427], [0.46349960565567017, 0.3843114376068115, 0.009971294552087784], [0.5492695569992065, 0.6219136714935303, 0.009036406874656677], [0.33287954330444336, 0.030936529859900475, 0.06438702344894409], [0.35424166917800903, 0.5888327956199646, 0.05865786597132683], [0.35876309871673584, 0.4610176086425781, 0.06638678908348083], [0.37288475036621094, 0.5184848308563232, 0.008601787500083447], [0.372389018535614, 0.4797614812850952, 0.01101202517747879], [0.566070556640625, 0.49153441190719604, 0.008294109255075455], [0.547113299369812, 0.5240451097488403, 0.01587468571960926]]"
503,"[[0.3868633210659027, 0.45557352900505066, 0.04341327026486397], [0.36098524928092957, 0.4960711598396301, 0.060122936964035034], [0.39043402671813965, 0.4501831531524658, 0.043073296546936035], [0.37784504890441895, 0.4769786596298218, 0.03246176615357399], [0.44973647594451904, 0.5419159531593323, 0.024529986083507538], [0.40003904700279236, 0.7074916362762451, 0.007063307799398899], [0.3981878459453583, 0.45742523670196533, 0.014559881761670113], [0.4736499786376953, 0.7259043455123901, 0.007992754690349102], [0.4374411106109619, 0.380435049533844, 0.012266275472939014], [0.5492347478866577, 0.6220436096191406, 0.009047199040651321], [0.3327523469924927, 0.031093250960111618, 0.06484044343233109], [0.35434460639953613, 0.5888796448707581, 0.05841968581080437], [0.35877037048339844, 0.4610079526901245, 0.06639152765274048], [0.37286674976348877, 0.5181719064712524, 0.008654900826513767], [0.3724064230918884, 0.47954484820365906, 0.011127198114991188], [0.5660366415977478, 0.49156641960144043, 0.008322668261826038], [0.5470594167709351, 0.5242079496383667, 0.015930522233247757]]"
504,"[[0.3868787884712219, 0.4556611180305481, 0.04198131710290909], [0.3609176576137543, 0.4962656497955322, 0.058599092066287994], [0.3905192017555237, 0.45019257068634033, 0.041637931019067764], [0.37780797481536865, 0.47679242491722107, 0.03115907311439514], [0.4500076174736023, 0.5423128604888916, 0.023997537791728973], [0.4001843333244324, 0.7077192068099976, 0.0068856822326779366], [0.3980836868286133, 0.457546204328537, 0.014141673222184181], [0.47376900911331177, 0.725704550743103, 0.007858694531023502], [0.463567852973938, 0.3840760588645935, 0.009814630262553692], [0.5493035316467285, 0.6219332814216614, 0.009031514637172222], [0.33281636238098145, 0.030978968366980553, 0.06490857154130936], [0.3542679250240326, 0.5888975858688354, 0.05872422829270363], [0.35876548290252686, 0.4610883891582489, 0.06657600402832031], [0.3729144334793091, 0.5185739994049072, 0.008538739755749702], [0.37237295508384705, 0.47977253794670105, 0.010945696383714676], [0.5660329461097717, 0.4915844798088074, 0.008250655606389046], [0.547099769115448, 0.524009644985199, 0.015824658796191216]]"
505,"[[0.3868885934352875, 0.455322265625, 0.04263101890683174], [0.3609668016433716, 0.4958729147911072, 0.05981601029634476], [0.3904847502708435, 0.44988521933555603, 0.04271378368139267], [0.37773293256759644, 0.4767293334007263, 0.03204888105392456], [0.4498838782310486, 0.5417772531509399, 0.02437720261514187], [0.400087833404541, 0.7075626850128174, 0.007029350847005844], [0.39804762601852417, 0.457258939743042, 0.014381801709532738], [0.4735403060913086, 0.7259630560874939, 0.007973505184054375], [0.4633215665817261, 0.3842323422431946, 0.009886004030704498], [0.5492135286331177, 0.6220357418060303, 0.009029798209667206], [0.3327767848968506, 0.03105159103870392, 0.06527764350175858], [0.3543851375579834, 0.5891909003257751, 0.05851132422685623], [0.35885748267173767, 0.4611741900444031, 0.06661655008792877], [0.3728523850440979, 0.5183324813842773, 0.00861262995749712], [0.3723539710044861, 0.4796445369720459, 0.011064485646784306], [0.5659513473510742, 0.49160075187683105, 0.008274476043879986], [0.546977162361145, 0.5242190361022949, 0.01586729660630226]]"
506,"[[0.38690707087516785, 0.4555765986442566, 0.04273340478539467], [0.36102092266082764, 0.49606844782829285, 0.05893468111753464], [0.3905467987060547, 0.45017820596694946, 0.042360082268714905], [0.37789615988731384, 0.4767703413963318, 0.0317598432302475], [0.44995152950286865, 0.5420795679092407, 0.02433343231678009], [0.4000060558319092, 0.7076818346977234, 0.006889700423926115], [0.3981371521949768, 0.4576416611671448, 0.014325767755508423], [0.473565936088562, 0.725905179977417, 0.007911800406873226], [0.46352362632751465, 0.38426610827445984, 0.009894569404423237], [0.5492724776268005, 0.6220189332962036, 0.008991052396595478], [0.3327714204788208, 0.031065043061971664, 0.0645017921924591], [0.3540689945220947, 0.5889666676521301, 0.05830303579568863], [0.3585987687110901, 0.46112942695617676, 0.0662924200296402], [0.3727307915687561, 0.5184243321418762, 0.008550211787223816], [0.37231117486953735, 0.4797007739543915, 0.011002672836184502], [0.5660709142684937, 0.49162203073501587, 0.008259274996817112], [0.5471044778823853, 0.5241142511367798, 0.015819817781448364]]"
507,"[[0.38703233003616333, 0.4558250904083252, 0.04380631446838379], [0.3611467480659485, 0.49628525972366333, 0.059686753898859024], [0.3906174600124359, 0.4504363536834717, 0.042869504541158676], [0.37791091203689575, 0.47704777121543884, 0.032287728041410446], [0.4498215615749359, 0.5422657132148743, 0.02438802644610405], [0.3999471068382263, 0.707676887512207, 0.006880180444568396], [0.3981175124645233, 0.45769375562667847, 0.014441607519984245], [0.47360771894454956, 0.7258942127227783, 0.007905181497335434], [0.4634189307689667, 0.3843700885772705, 0.009992999024689198], [0.5493151545524597, 0.6219991445541382, 0.008993704803287983], [0.3328535556793213, 0.03096407651901245, 0.06487681716680527], [0.35416895151138306, 0.5890449285507202, 0.058231648057699203], [0.3587108552455902, 0.46117424964904785, 0.06619271636009216], [0.37268099188804626, 0.5183454751968384, 0.008600183762609959], [0.372259259223938, 0.47981786727905273, 0.01102787721902132], [0.566041111946106, 0.49160122871398926, 0.00828788336366415], [0.5470943450927734, 0.5241705775260925, 0.01588565669953823]]"
508,"[[0.387020081281662, 0.45575666427612305, 0.0423629954457283], [0.36111295223236084, 0.4963129162788391, 0.058343950659036636], [0.39067885279655457, 0.45033931732177734, 0.04167350009083748], [0.37799566984176636, 0.4768814742565155, 0.031255580484867096], [0.450187623500824, 0.5425775051116943, 0.024086175486445427], [0.400256484746933, 0.7077502608299255, 0.006832105107605457], [0.39819157123565674, 0.45767173171043396, 0.01420050859451294], [0.47376787662506104, 0.7256298065185547, 0.007825815118849277], [0.4636722803115845, 0.38418862223625183, 0.00980749074369669], [0.5493253469467163, 0.6219053268432617, 0.00899171270430088], [0.33284682035446167, 0.030953209847211838, 0.06522702425718307], [0.354232519865036, 0.5889456272125244, 0.05863164737820625], [0.358671635389328, 0.46111857891082764, 0.0663425475358963], [0.37278053164482117, 0.5184921026229858, 0.00850091315805912], [0.3722549378871918, 0.47978800535202026, 0.01088169775903225], [0.5661067366600037, 0.4915255308151245, 0.008238311856985092], [0.5471684336662292, 0.5240123271942139, 0.01577380858361721]]"
509,"[[0.3869558274745941, 0.45567449927330017, 0.04332207143306732], [0.3610790967941284, 0.4961831569671631, 0.05961047112941742], [0.3905467391014099, 0.4502869248390198, 0.04272850975394249], [0.3779112994670868, 0.477030485868454, 0.032176900655031204], [0.4499048888683319, 0.5422487258911133, 0.024354174733161926], [0.40010106563568115, 0.7076131105422974, 0.006900021806359291], [0.39816364645957947, 0.45756781101226807, 0.01444157399237156], [0.47366461157798767, 0.7257811427116394, 0.00787693727761507], [0.4633885622024536, 0.3843289017677307, 0.009924734011292458], [0.5492923259735107, 0.6219800114631653, 0.009002120234072208], [0.3327619135379791, 0.03108978644013405, 0.06525260210037231], [0.3543158173561096, 0.5890204310417175, 0.05845383554697037], [0.3587188124656677, 0.4611223340034485, 0.06633388996124268], [0.3727377653121948, 0.5182545185089111, 0.008593697100877762], [0.37226998805999756, 0.4796583652496338, 0.011022656224668026], [0.5660421252250671, 0.4915332794189453, 0.008296044543385506], [0.5470889210700989, 0.5241532921791077, 0.015874462202191353]]"
510,"[[0.38694196939468384, 0.45571470260620117, 0.04276057705283165], [0.36103522777557373, 0.4962659776210785, 0.058993060141801834], [0.3905664086341858, 0.4503009021282196, 0.04217537119984627], [0.37790560722351074, 0.47696608304977417, 0.03169757500290871], [0.4500173330307007, 0.5423113107681274, 0.024248672649264336], [0.4001495838165283, 0.7076468467712402, 0.0069086854346096516], [0.39816373586654663, 0.457547664642334, 0.014334524050354958], [0.4736791253089905, 0.7257820963859558, 0.007880187593400478], [0.46347904205322266, 0.3842537999153137, 0.00986451655626297], [0.5492719411849976, 0.621941328048706, 0.009006422013044357], [0.3327935039997101, 0.03103114292025566, 0.06529724597930908], [0.3542955815792084, 0.5889830589294434, 0.05856223776936531], [0.35871967673301697, 0.4611419141292572, 0.0664079412817955], [0.37281882762908936, 0.5183708071708679, 0.008559318259358406], [0.3723061680793762, 0.47971460223197937, 0.010970620438456535], [0.5660625696182251, 0.49151521921157837, 0.008272921666502953], [0.5471084713935852, 0.5240926742553711, 0.015839681029319763]]"
511,"[[0.3869643211364746, 0.4556853175163269, 0.043284524232149124], [0.3610949218273163, 0.49622058868408203, 0.05965791642665863], [0.39057183265686035, 0.4502985179424286, 0.042733076959848404], [0.3779465854167938, 0.477023720741272, 0.032137952744960785], [0.4499081075191498, 0.5422239303588867, 0.02438496984541416], [0.400077223777771, 0.7075657248497009, 0.006922922097146511], [0.3981684446334839, 0.45754313468933105, 0.014458414167165756], [0.4736710488796234, 0.7257832288742065, 0.007874549366533756], [0.46337541937828064, 0.38430020213127136, 0.009934676811099052], [0.5493452548980713, 0.621971607208252, 0.008999235928058624], [0.33275195956230164, 0.031093448400497437, 0.06539047509431839], [0.35430920124053955, 0.5889614224433899, 0.05848781019449234], [0.3587537407875061, 0.461178719997406, 0.06643463671207428], [0.3728258013725281, 0.5182129144668579, 0.008621839806437492], [0.37234053015708923, 0.4796580970287323, 0.011059319600462914], [0.5660508871078491, 0.49152910709381104, 0.008317187428474426], [0.5471110939979553, 0.5241233706474304, 0.015872031450271606]]"
512,"[[0.38708850741386414, 0.45551013946533203, 0.043022520840168], [0.3611735701560974, 0.49601662158966064, 0.05940019339323044], [0.390707790851593, 0.4500645399093628, 0.04255829006433487], [0.3779012858867645, 0.47673410177230835, 0.03194684162735939], [0.45002245903015137, 0.5418204069137573, 0.02435181476175785], [0.39996621012687683, 0.7075607776641846, 0.00691208615899086], [0.39814692735671997, 0.45726796984672546, 0.014389853924512863], [0.47341227531433105, 0.7259518504142761, 0.007903111167252064], [0.4635516107082367, 0.38428759574890137, 0.009974570944905281], [0.5494281053543091, 0.6220308542251587, 0.00901808962225914], [0.3328765034675598, 0.030946707352995872, 0.06456199288368225], [0.3542454242706299, 0.5891261100769043, 0.05846001207828522], [0.3588791787624359, 0.4611971080303192, 0.0663623958826065], [0.3727911710739136, 0.5184388756752014, 0.00855114497244358], [0.3723068833351135, 0.47977638244628906, 0.010994529351592064], [0.5660982728004456, 0.4916859269142151, 0.00826872605830431], [0.5471952557563782, 0.5242194533348083, 0.01593291200697422]]"
513,"[[0.38692981004714966, 0.45510923862457275, 0.04245281219482422], [0.3610149323940277, 0.4956372380256653, 0.05957303196191788], [0.39053770899772644, 0.44966012239456177, 0.0427243709564209], [0.3777615427970886, 0.47651681303977966, 0.03202834725379944], [0.4499664008617401, 0.5413734912872314, 0.024406690150499344], [0.3999937176704407, 0.7074456214904785, 0.007027348503470421], [0.3981112241744995, 0.45702406764030457, 0.014419701881706715], [0.4732862710952759, 0.7260355949401855, 0.007990843616425991], [0.463437020778656, 0.3842775821685791, 0.00988959800451994], [0.5493024587631226, 0.6221020221710205, 0.009041938930749893], [0.3327683210372925, 0.031086556613445282, 0.06498073786497116], [0.35439687967300415, 0.5892271399497986, 0.05844128131866455], [0.3589071035385132, 0.4611801505088806, 0.06652574241161346], [0.37281450629234314, 0.5183656215667725, 0.00857146829366684], [0.3723245859146118, 0.4796382188796997, 0.011043696664273739], [0.5660349726676941, 0.4916846752166748, 0.008270414546132088], [0.5470906496047974, 0.5243106484413147, 0.015939969569444656]]"
514,"[[0.38688766956329346, 0.4554293155670166, 0.042658351361751556], [0.36096423864364624, 0.4960167109966278, 0.05990585684776306], [0.39047402143478394, 0.44996845722198486, 0.042634233832359314], [0.3777223527431488, 0.4768892526626587, 0.032049261033535004], [0.4498748183250427, 0.5418386459350586, 0.024369772523641586], [0.4001912474632263, 0.7075371742248535, 0.007092140149325132], [0.39805710315704346, 0.45715510845184326, 0.014398906379938126], [0.473594605922699, 0.7258862853050232, 0.007997004315257072], [0.463289737701416, 0.3842177093029022, 0.009905912913382053], [0.5492286682128906, 0.6219822764396667, 0.009047583676874638], [0.3328055143356323, 0.031018486246466637, 0.06566238403320312], [0.35449060797691345, 0.589206337928772, 0.0587623305618763], [0.35897278785705566, 0.46115946769714355, 0.06675190478563309], [0.3729242980480194, 0.5183990001678467, 0.008625072427093983], [0.3723820149898529, 0.47964155673980713, 0.01107316929847002], [0.5659847259521484, 0.4915350377559662, 0.00830124318599701], [0.5470290780067444, 0.5241820216178894, 0.015891646966338158]]"
515,"[[0.3867812156677246, 0.45539677143096924, 0.043582718819379807], [0.3609023094177246, 0.4959283769130707, 0.06064014509320259], [0.3902980089187622, 0.4499698579311371, 0.043526314198970795], [0.37774235010147095, 0.4769851565361023, 0.032818883657455444], [0.4495932459831238, 0.5415664911270142, 0.02447238191962242], [0.40010714530944824, 0.7073627710342407, 0.0070993900299072266], [0.3981275260448456, 0.45717453956604004, 0.014681537635624409], [0.47360873222351074, 0.7258643507957458, 0.00798064935952425], [0.4372287392616272, 0.3804054260253906, 0.012303617782890797], [0.5492317080497742, 0.6221020817756653, 0.009043651632964611], [0.332663893699646, 0.0312499962747097, 0.06465393304824829], [0.3736935555934906, 0.5714813470840454, 0.06100538372993469], [0.35892412066459656, 0.46102747321128845, 0.0665588453412056], [0.37283992767333984, 0.5180771350860596, 0.00871995184570551], [0.3723909556865692, 0.4794311225414276, 0.011236926540732384], [0.5659180879592896, 0.49157851934432983, 0.008359862491488457], [0.5469595193862915, 0.5243194103240967, 0.015958501026034355]]"
516,"[[0.3869664669036865, 0.45540809631347656, 0.043498750776052475], [0.3611242175102234, 0.4958735704421997, 0.060117270797491074], [0.39053457975387573, 0.45005398988723755, 0.04325232654809952], [0.3779420852661133, 0.47684890031814575, 0.03258488327264786], [0.449785441160202, 0.5419362783432007, 0.024390533566474915], [0.4001598358154297, 0.7075197100639343, 0.006938524544239044], [0.3982323408126831, 0.45736438035964966, 0.014625382609665394], [0.4737459123134613, 0.725679337978363, 0.007878413423895836], [0.46327850222587585, 0.38445615768432617, 0.010001531802117825], [0.5492666959762573, 0.6220598220825195, 0.00900382548570633], [0.33277156949043274, 0.031058788299560547, 0.06512372940778732], [0.3735928237438202, 0.5713496208190918, 0.06082100048661232], [0.35887405276298523, 0.46104341745376587, 0.06633288413286209], [0.37275177240371704, 0.5180461406707764, 0.008650761097669601], [0.37231820821762085, 0.4795016050338745, 0.011145830154418945], [0.5660150051116943, 0.4915371537208557, 0.008325640112161636], [0.5470595955848694, 0.5242354273796082, 0.01590966060757637]]"
517,"[[0.3869663178920746, 0.4555203914642334, 0.04412107542157173], [0.3611556887626648, 0.4959672689437866, 0.0607353039085865], [0.39050722122192383, 0.4501860737800598, 0.043687980622053146], [0.37800896167755127, 0.47707974910736084, 0.032982226461172104], [0.44966480135917664, 0.5419823527336121, 0.024520331993699074], [0.4001346230506897, 0.70746248960495, 0.006979332305490971], [0.39828240871429443, 0.457464337348938, 0.014756068587303162], [0.4737759232521057, 0.7256382703781128, 0.00790020264685154], [0.4632055163383484, 0.3845028579235077, 0.010072758421301842], [0.5492901802062988, 0.6220559477806091, 0.009020527824759483], [0.33271121978759766, 0.031169012188911438, 0.0648915097117424], [0.3735891282558441, 0.5712606906890869, 0.06066911295056343], [0.35883161425590515, 0.46093857288360596, 0.06623011082410812], [0.37280040979385376, 0.5179098844528198, 0.008711250498890877], [0.37239283323287964, 0.47936636209487915, 0.011243268847465515], [0.5660090446472168, 0.4915558695793152, 0.008362515829503536], [0.5470595359802246, 0.5242576599121094, 0.01593330129981041]]"
518,"[[0.38684412837028503, 0.4555473029613495, 0.042388275265693665], [0.36093395948410034, 0.496089905500412, 0.05930895358324051], [0.3904605805873871, 0.45009860396385193, 0.04222170263528824], [0.3777998685836792, 0.4768543243408203, 0.03172113373875618], [0.4499613642692566, 0.5421212315559387, 0.024234764277935028], [0.4002281427383423, 0.7076559066772461, 0.006981149315834045], [0.3981194496154785, 0.45737573504447937, 0.014324279502034187], [0.4737097918987274, 0.7257275581359863, 0.007909375242888927], [0.4634726941585541, 0.38421469926834106, 0.009883197955787182], [0.5492067337036133, 0.6219289302825928, 0.009040596894919872], [0.3327796459197998, 0.03105752170085907, 0.06483486294746399], [0.35434040427207947, 0.5890105962753296, 0.05879368260502815], [0.3588374853134155, 0.46108555793762207, 0.06662400811910629], [0.37286847829818726, 0.5184658169746399, 0.00857046339660883], [0.3723602890968323, 0.4796055257320404, 0.011027625761926174], [0.5660119652748108, 0.49155592918395996, 0.008270492777228355], [0.5470582246780396, 0.5240916013717651, 0.015849310904741287]]"
519,"[[0.3868049085140228, 0.45577535033226013, 0.043307289481163025], [0.3609151542186737, 0.4962990880012512, 0.05986950173974037], [0.39037784934043884, 0.450332373380661, 0.04280809685587883], [0.3778645992279053, 0.4771578907966614, 0.03226863220334053], [0.4497217535972595, 0.5419988036155701, 0.024417785927653313], [0.4001539349555969, 0.7075085043907166, 0.007045128382742405], [0.39816367626190186, 0.45745429396629333, 0.014534269459545612], [0.4736989736557007, 0.7256893515586853, 0.007926507852971554], [0.4632817208766937, 0.384310781955719, 0.009963755495846272], [0.5492342710494995, 0.621951699256897, 0.009033158421516418], [0.33272600173950195, 0.031170610338449478, 0.06437184661626816], [0.3543420433998108, 0.5888265371322632, 0.05866853892803192], [0.35875505208969116, 0.46094271540641785, 0.06649769097566605], [0.3729562759399414, 0.5182968378067017, 0.008680380880832672], [0.3725064992904663, 0.4794989228248596, 0.011173143982887268], [0.5660080909729004, 0.49155327677726746, 0.008347312919795513], [0.5470388531684875, 0.5241520404815674, 0.015885623171925545]]"
520,"[[0.38675376772880554, 0.4553512930870056, 0.04302746802568436], [0.3608374297618866, 0.49587738513946533, 0.06024489924311638], [0.39031487703323364, 0.44986188411712646, 0.04312523081898689], [0.3776872754096985, 0.47681039571762085, 0.03243356943130493], [0.4496777653694153, 0.5414411425590515, 0.0244943518191576], [0.3999348282814026, 0.707563042640686, 0.007026716135442257], [0.39806413650512695, 0.45717284083366394, 0.014533085748553276], [0.47338366508483887, 0.7260200381278992, 0.008012335747480392], [0.43730467557907104, 0.38026756048202515, 0.012258490547537804], [0.5491987466812134, 0.622035801410675, 0.009064451791346073], [0.33274054527282715, 0.031117931008338928, 0.06489000469446182], [0.35435348749160767, 0.5892264246940613, 0.05850131809711456], [0.3588153123855591, 0.4611380100250244, 0.06660953164100647], [0.3728465735912323, 0.5184347629547119, 0.00866291020065546], [0.372377872467041, 0.47952839732170105, 0.011185177601873875], [0.5659386515617371, 0.49169766902923584, 0.008324145339429379], [0.5469778180122375, 0.5242743492126465, 0.016000427305698395]]"
521,"[[0.3866766095161438, 0.4552626311779022, 0.043610379099845886], [0.36076879501342773, 0.49577710032463074, 0.06097021326422691], [0.3901793360710144, 0.44977349042892456, 0.04382988065481186], [0.37764620780944824, 0.4769439101219177, 0.03305308520793915], [0.449428528547287, 0.5410959124565125, 0.024668855592608452], [0.3999042212963104, 0.7074257731437683, 0.0071287308819592], [0.3981119394302368, 0.4570351243019104, 0.014779351651668549], [0.4733632802963257, 0.7261512279510498, 0.008058350533246994], [0.43725156784057617, 0.3804060220718384, 0.012309355661273003], [0.5491446852684021, 0.6221415996551514, 0.009069533087313175], [0.33266162872314453, 0.03127032890915871, 0.06440632790327072], [0.3544338643550873, 0.5892021059989929, 0.058335281908512115], [0.3588395118713379, 0.4609452486038208, 0.06652384996414185], [0.3728923797607422, 0.5181805491447449, 0.008736630901694298], [0.3724869191646576, 0.47931331396102905, 0.011335656978189945], [0.5659114718437195, 0.4917091727256775, 0.008366131223738194], [0.5469067096710205, 0.5244331955909729, 0.016035960987210274]]"
522,"[[0.3869960308074951, 0.4552825391292572, 0.04284705966711044], [0.36107978224754333, 0.49581509828567505, 0.06001933291554451], [0.3905954360961914, 0.4498147964477539, 0.042828455567359924], [0.37774550914764404, 0.4766775071620941, 0.03212515264749527], [0.449969619512558, 0.5415931940078735, 0.024424606934189796], [0.3999802768230438, 0.7075204849243164, 0.007009569555521011], [0.39805564284324646, 0.45706707239151, 0.014404341578483582], [0.4733448624610901, 0.7261096835136414, 0.0079764099791646], [0.46342429518699646, 0.384265661239624, 0.009909901767969131], [0.549343466758728, 0.6220692992210388, 0.009046601131558418], [0.33286193013191223, 0.03095925599336624, 0.06532759219408035], [0.35439416766166687, 0.589319109916687, 0.058433882892131805], [0.35897111892700195, 0.46124204993247986, 0.06656932085752487], [0.37284642457962036, 0.5183793306350708, 0.008585941977798939], [0.37233465909957886, 0.47972506284713745, 0.01104363426566124], [0.5659992694854736, 0.4916697144508362, 0.008256522938609123], [0.5470768809318542, 0.5242842435836792, 0.015907468274235725]]"
523,"[[0.38700002431869507, 0.4551362693309784, 0.04364089295268059], [0.3611389100551605, 0.4956360459327698, 0.06086884066462517], [0.39053308963775635, 0.449740469455719, 0.043730348348617554], [0.37776339054107666, 0.47676119208335876, 0.032926540821790695], [0.4497303366661072, 0.5414972305297852, 0.024561289697885513], [0.3999116122722626, 0.7074556350708008, 0.007060505449771881], [0.3980703353881836, 0.45710456371307373, 0.014614242129027843], [0.4733874499797821, 0.7260738611221313, 0.008053962141275406], [0.4632776379585266, 0.38436660170555115, 0.009970400482416153], [0.5491870045661926, 0.6221392154693604, 0.009072504006326199], [0.33278244733810425, 0.031071608886122704, 0.06556433439254761], [0.35461413860321045, 0.5892454385757446, 0.05822668597102165], [0.35894548892974854, 0.46117091178894043, 0.06641500443220139], [0.37271782755851746, 0.518018901348114, 0.008663451299071312], [0.3722594976425171, 0.479587197303772, 0.011141831055283546], [0.5659077763557434, 0.4916214644908905, 0.008304353803396225], [0.5469496250152588, 0.5244065523147583, 0.015968982130289078]]"
524,"[[0.3868875503540039, 0.45540183782577515, 0.04287192225456238], [0.3609599471092224, 0.4960026144981384, 0.06019580736756325], [0.3904472291469574, 0.4499198794364929, 0.04283469542860985], [0.377672404050827, 0.47685715556144714, 0.03218846768140793], [0.4497672915458679, 0.5417372584342957, 0.024335213005542755], [0.3999491333961487, 0.7075521945953369, 0.007101587951183319], [0.3979695439338684, 0.4572010040283203, 0.014377754181623459], [0.47338682413101196, 0.7260059714317322, 0.008097467944025993], [0.46329590678215027, 0.3841405510902405, 0.009928624145686626], [0.5491809844970703, 0.622024416923523, 0.00910876039415598], [0.3327948749065399, 0.031017567962408066, 0.0653550997376442], [0.3545262813568115, 0.5891446471214294, 0.05856423079967499], [0.3589025139808655, 0.46117502450942993, 0.06664489209651947], [0.37286895513534546, 0.5183460712432861, 0.008633284829556942], [0.37234872579574585, 0.4796529710292816, 0.011087225750088692], [0.5658853054046631, 0.49165651202201843, 0.008295819163322449], [0.5469576716423035, 0.5242398977279663, 0.015927543863654137]]"
525,"[[0.38692206144332886, 0.45536667108535767, 0.043217964470386505], [0.36102229356765747, 0.49595949053764343, 0.06081059202551842], [0.39047402143478394, 0.4499131143093109, 0.04326409846544266], [0.37770402431488037, 0.4768369793891907, 0.03250541538000107], [0.44970425963401794, 0.5417031645774841, 0.024394797161221504], [0.3999859094619751, 0.7074819803237915, 0.007130201440304518], [0.3979818522930145, 0.45716333389282227, 0.014445475302636623], [0.47354063391685486, 0.7257959842681885, 0.00809137336909771], [0.4373786151409149, 0.38022348284721375, 0.012223804369568825], [0.5492352247238159, 0.6220434904098511, 0.009124865755438805], [0.3328390121459961, 0.030943473801016808, 0.0661182552576065], [0.3546089828014374, 0.5890120267868042, 0.05861429497599602], [0.3589582145214081, 0.4611724615097046, 0.06668344885110855], [0.3729444444179535, 0.5182124376296997, 0.008693520911037922], [0.3724171817302704, 0.47965264320373535, 0.011151433922350407], [0.5658955574035645, 0.49166566133499146, 0.008345959708094597], [0.5469897985458374, 0.5242540836334229, 0.01599200628697872]]"
