frame,keypoints
10,"[[0.38690274953842163, 0.4556388854980469, 0.042300496250391006], [0.36102867126464844, 0.49614113569259644, 0.05884897708892822], [0.39058157801628113, 0.4503040909767151, 0.04196147993206978], [0.3782265782356262, 0.4767380356788635, 0.03148583322763443], [0.4502524137496948, 0.5435324311256409, 0.02397204004228115], [0.4004257619380951, 0.7081184387207031, 0.006623191758990288], [0.39832615852355957, 0.45822978019714355, 0.014361612498760223], [0.4737946689128876, 0.7247651815414429, 0.007721900939941406], [0.46319493651390076, 0.3841148018836975, 0.010084724053740501], [0.5299970507621765, 0.6244214773178101, 0.01031037513166666], [0.3327682912349701, 0.03091077134013176, 0.0658760592341423], [0.3542332351207733, 0.5886173844337463, 0.059011299163103104], [0.3585730791091919, 0.4612811207771301, 0.06627312302589417], [0.3726407289505005, 0.5182976126670837, 0.008539319969713688], [0.37219297885894775, 0.4794926047325134, 0.011029966175556183], [0.5658036470413208, 0.4914608895778656, 0.008181354030966759], [0.546902060508728, 0.5238431692123413, 0.015695147216320038]]"
11,"[[0.38680124282836914, 0.45568615198135376, 0.04296621307730675], [0.3609374463558197, 0.4961819648742676, 0.05960581824183464], [0.3904260993003845, 0.45035383105278015, 0.04258911684155464], [0.37812501192092896, 0.4769613444805145, 0.032095637172460556], [0.44995778799057007, 0.5431942343711853, 0.024203913286328316], [0.4003012180328369, 0.7079493403434753, 0.006766511593014002], [0.3982943296432495, 0.4581121802330017, 0.014524913392961025], [0.4737358093261719, 0.7249948978424072, 0.0077997599728405476], [0.43717655539512634, 0.38036006689071655, 0.012392621487379074], [0.5299732685089111, 0.6245636343955994, 0.010371419601142406], [0.3327401876449585, 0.03101225756108761, 0.06573094427585602], [0.35425981879234314, 0.5886512994766235, 0.058913279324769974], [0.3585730493068695, 0.46118831634521484, 0.06625828146934509], [0.37266069650650024, 0.5181805491447449, 0.008620270527899265], [0.37224406003952026, 0.47940823435783386, 0.011137088760733604], [0.5657818913459778, 0.4914514720439911, 0.008223861455917358], [0.5468295812606812, 0.5239316821098328, 0.015747535973787308]]"
12,"[[0.38697075843811035, 0.4557484984397888, 0.042971573770046234], [0.3610979914665222, 0.49621593952178955, 0.05931084603071213], [0.39061611890792847, 0.45042699575424194, 0.042336344718933105], [0.3781973719596863, 0.4769071340560913, 0.031908128410577774], [0.45010310411453247, 0.5435603857040405, 0.024087317287921906], [0.40031588077545166, 0.7080923914909363, 0.006678646430373192], [0.3982960879802704, 0.4582340717315674, 0.014423464424908161], [0.4737691581249237, 0.7249751091003418, 0.007775821257382631], [0.4632805585861206, 0.3842661380767822, 0.010117379017174244], [0.5300347805023193, 0.6245174407958984, 0.01034777145832777], [0.3328774571418762, 0.03088449500501156, 0.06546170264482498], [0.3542688488960266, 0.5887408256530762, 0.0589335635304451], [0.3586282730102539, 0.4612545371055603, 0.0661783516407013], [0.3726147413253784, 0.5182998180389404, 0.008557544089853764], [0.37217363715171814, 0.47958406805992126, 0.011026772670447826], [0.5658169984817505, 0.4914599359035492, 0.008189087733626366], [0.5468895435333252, 0.5239071846008301, 0.015720339491963387]]"
13,"[[0.38702496886253357, 0.4555928409099579, 0.043271783739328384], [0.3611642122268677, 0.49599048495292664, 0.05986623466014862], [0.39066165685653687, 0.4502861201763153, 0.042803894728422165], [0.3781925141811371, 0.47679242491722107, 0.03224317729473114], [0.4500776529312134, 0.5434044003486633, 0.024230385199189186], [0.40026944875717163, 0.7080837488174438, 0.006713412702083588], [0.3983250558376312, 0.4580969214439392, 0.014533326029777527], [0.47375401854515076, 0.7250236868858337, 0.007818181067705154], [0.46320784091949463, 0.38432976603507996, 0.010212214663624763], [0.5300348401069641, 0.624531626701355, 0.01035334449261427], [0.33289992809295654, 0.030870504677295685, 0.06617720425128937], [0.3542487323284149, 0.5887894630432129, 0.0589137002825737], [0.358708918094635, 0.46128320693969727, 0.06621883809566498], [0.3726004958152771, 0.5181922316551208, 0.008579202927649021], [0.3721778392791748, 0.4795472025871277, 0.01107560470700264], [0.5658345222473145, 0.4914531111717224, 0.008216651156544685], [0.5469053983688354, 0.523887574672699, 0.01579650677740574]]"
14,"[[0.3869425654411316, 0.4555070996284485, 0.041629575192928314], [0.361034095287323, 0.49601849913597107, 0.05815708637237549], [0.39065203070640564, 0.45016592741012573, 0.04147820547223091], [0.35126227140426636, 0.47782790660858154, 0.03259628266096115], [0.45037707686424255, 0.5436115264892578, 0.02385113388299942], [0.4004296064376831, 0.7081655263900757, 0.0066060093231499195], [0.3983107805252075, 0.4581950604915619, 0.014225642196834087], [0.4738504886627197, 0.7248786687850952, 0.007739154156297445], [0.463440477848053, 0.38404369354248047, 0.01001176331192255], [0.5487920045852661, 0.6212031841278076, 0.00891947466880083], [0.33284735679626465, 0.030792787671089172, 0.06620224565267563], [0.3542124629020691, 0.5886683464050293, 0.05905594676733017], [0.35859549045562744, 0.46131396293640137, 0.0663192868232727], [0.3726373612880707, 0.5183702111244202, 0.00847157184034586], [0.3721550405025482, 0.4795767664909363, 0.010926936753094196], [0.5658422708511353, 0.4914707541465759, 0.008151043206453323], [0.5469548106193542, 0.5238529443740845, 0.015668436884880066]]"
15,"[[0.3869142234325409, 0.4555286169052124, 0.042033858597278595], [0.3610258102416992, 0.49602168798446655, 0.05859940126538277], [0.39060044288635254, 0.45019885897636414, 0.041838645935058594], [0.3512657880783081, 0.4779236316680908, 0.03282322734594345], [0.45028871297836304, 0.5435317158699036, 0.023942064493894577], [0.40040692687034607, 0.7081109881401062, 0.006628128699958324], [0.39831387996673584, 0.458187997341156, 0.014314528554677963], [0.47383755445480347, 0.7249025702476501, 0.007739491295069456], [0.46334099769592285, 0.38411709666252136, 0.010041947476565838], [0.5300488471984863, 0.6244478821754456, 0.010329564101994038], [0.3328135311603546, 0.030856460332870483, 0.06622225046157837], [0.354248583316803, 0.5886812210083008, 0.059018272906541824], [0.358600378036499, 0.46131980419158936, 0.06629066169261932], [0.3726225793361664, 0.5182967782020569, 0.008508692495524883], [0.3721575140953064, 0.47954338788986206, 0.01097792200744152], [0.5658340454101562, 0.4914560914039612, 0.008169538341462612], [0.5469343066215515, 0.5238724946975708, 0.01569947972893715]]"
16,"[[0.3869161009788513, 0.4554954171180725, 0.04224224388599396], [0.3610421121120453, 0.4959796071052551, 0.058825064450502396], [0.3905937671661377, 0.4501727819442749, 0.04206845536828041], [0.35128843784332275, 0.4779317378997803, 0.03302542492747307], [0.4502250850200653, 0.543463945388794, 0.024010030552744865], [0.4003714323043823, 0.7080882787704468, 0.006656750105321407], [0.39831215143203735, 0.45818763971328735, 0.014365054666996002], [0.47380658984184265, 0.7249175310134888, 0.0077705224975943565], [0.46329939365386963, 0.38416099548339844, 0.010074104182422161], [0.5300312638282776, 0.6244746446609497, 0.010335370898246765], [0.3327973484992981, 0.030886691063642502, 0.0661483034491539], [0.3542378842830658, 0.5886639356613159, 0.05896785855293274], [0.3585743308067322, 0.4613010287284851, 0.06624466925859451], [0.3726045787334442, 0.5182627439498901, 0.00852439645677805], [0.37215685844421387, 0.47951170802116394, 0.011005401611328125], [0.5658305883407593, 0.4914564788341522, 0.0081787109375], [0.5469161868095398, 0.5238898992538452, 0.0157034732401371]]"
17,"[[0.3868587613105774, 0.45554792881011963, 0.04286470264196396], [0.36101147532463074, 0.49600404500961304, 0.05950089916586876], [0.39050590991973877, 0.45023414492607117, 0.042626578360795975], [0.3781561255455017, 0.4767708480358124, 0.032080549746751785], [0.4500565528869629, 0.5432860851287842, 0.024188058450818062], [0.40031570196151733, 0.7080225348472595, 0.006712944712489843], [0.39829641580581665, 0.4581565856933594, 0.0144887026399374], [0.4737561345100403, 0.7249809503555298, 0.0077940234914422035], [0.43726295232772827, 0.38038188219070435, 0.012404975481331348], [0.5299859046936035, 0.6245356798171997, 0.01035106461495161], [0.3327585756778717, 0.0309993177652359, 0.06582042574882507], [0.35421857237815857, 0.5886285305023193, 0.05889475345611572], [0.35852521657943726, 0.46123170852661133, 0.06619402766227722], [0.37258070707321167, 0.5181736946105957, 0.00857557449489832], [0.37217122316360474, 0.4794442057609558, 0.011086744256317616], [0.565831184387207, 0.4914493262767792, 0.008203597739338875], [0.546879768371582, 0.5239241719245911, 0.015737900510430336]]"
18,"[[0.38689756393432617, 0.455624520778656, 0.04285388067364693], [0.36101505160331726, 0.4961046874523163, 0.05966970697045326], [0.390533447265625, 0.45027196407318115, 0.04251901060342789], [0.37807631492614746, 0.47684407234191895, 0.03196975961327553], [0.4499747157096863, 0.5432286262512207, 0.024168407544493675], [0.40023717284202576, 0.7080191373825073, 0.006803973577916622], [0.39822468161582947, 0.45802339911460876, 0.014428839087486267], [0.4737668037414551, 0.7251513004302979, 0.00788712128996849], [0.46317994594573975, 0.3842563033103943, 0.010103553533554077], [0.5299938917160034, 0.6246798038482666, 0.010408887639641762], [0.3328682482242584, 0.030887268483638763, 0.06630172580480576], [0.3542637825012207, 0.5887469053268433, 0.05895731598138809], [0.35866743326187134, 0.4612405002117157, 0.06636203825473785], [0.3727172613143921, 0.5182854533195496, 0.008609266951680183], [0.3722512722015381, 0.4795682430267334, 0.011091172695159912], [0.5657967925071716, 0.4914637506008148, 0.008218769915401936], [0.5468509793281555, 0.5239453315734863, 0.015767592936754227]]"
19,"[[0.38686901330947876, 0.4556278884410858, 0.0426810123026371], [0.36097559332847595, 0.49617999792099, 0.05940369516611099], [0.39049476385116577, 0.45025014877319336, 0.0423390194773674], [0.3779856562614441, 0.47695398330688477, 0.031829606741666794], [0.44993290305137634, 0.5430678129196167, 0.024050291627645493], [0.40021812915802, 0.7080150842666626, 0.006779390387237072], [0.39816758036613464, 0.45793217420578003, 0.014353137463331223], [0.4737030267715454, 0.7253040075302124, 0.007874756120145321], [0.46321946382522583, 0.3841279447078705, 0.010033424012362957], [0.5488248467445374, 0.6215084791183472, 0.00896056555211544], [0.33281731605529785, 0.030931120738387108, 0.06584174931049347], [0.3543228507041931, 0.588890552520752, 0.05892162770032883], [0.35867294669151306, 0.46120962500572205, 0.06640930473804474], [0.3727068305015564, 0.5183200240135193, 0.008553022518754005], [0.372236967086792, 0.47952112555503845, 0.011046701110899448], [0.5657896995544434, 0.49149245023727417, 0.008222602307796478], [0.5468604564666748, 0.5239419937133789, 0.01573844812810421]]"
